标题链接,ID,名称,字段1,评分,点赞,投币,收藏,分享,播放/弹幕/追番
https://www.bilibili.com/bangumi/play/ss47836?from_spmid=666.14.0.0,BV15i421v7FQ,鬼灭之刃 柱训练篇,"漫画改 / 奇幻 / 热血,·,2024,·,已完结, 全8话,·",9.7分,25.2万,11.4万,4.2万,2.1万,1.4亿播放  ·  85.9万弹幕  ·  1790万系列追番
https://www.bilibili.com/bangumi/play/ss44860?from_spmid=666.14.0.0,BV1Br4y1o7Cx,鬼灭之刃 刀匠村篇,"漫画改 / 奇幻 / 热血 / 战斗,·,2023,·,已完结, 全13话,·",9.2分,13.7万,6.6万,1.1万,1727,2.8亿播放  ·  84.9万弹幕  ·  1790万系列追番
https://www.bilibili.com/bangumi/play/ss39433?from_spmid=666.14.0.0,BV1EZ4y1C7H1,鬼灭之刃 游郭篇,"漫画改 / 热血 / 战斗 / 奇幻,·,2021,·,已完结, 全11话,·",9.7分,46.3万,21.9万,5.4万,2万,3.4亿播放  ·  122.6万弹幕  ·  1790万系列追番
https://www.bilibili.com/bangumi/play/ss39444?from_spmid=666.14.0.0,BV1nU4y1M7e5,鬼灭之刃 无限列车篇,"漫画改 / 热血 / 战斗 / 奇幻,·,2021,·,已完结, 全7话,·",9.8分,83.3万,46.2万,11.9万,7.4万,2.3亿播放  ·  108.3万弹幕  ·  1790万系列追番
https://www.bilibili.com/bangumi/play/ss26801?from_spmid=666.14.0.0,BV1KE411R7V8,鬼灭之刃,"漫画改 / 战斗 / 热血 / 声控,·,2019,·,已完结, 全26话,·",9.7分,35.4万,52.5万,2.4万,5075,10.9亿播放  ·  1069.3万弹幕  ·  1790万系列追番
https://www.bilibili.com/bangumi/play/ss34430?from_spmid=666.14.0.0,BV19p4y1r7sr,咒术回战,"漫画改 / 战斗 / 热血 / 奇幻,·,2020,·,已完结, 全24话,·",9.7分,57.5万,18.3万,1.9万,2.1万,9.6亿播放  ·  556.2万弹幕  ·  1449.9万系列追番
https://www.bilibili.com/bangumi/play/ss45574?from_spmid=666.14.0.0,BV1Pp4y1N7Sb,咒术回战 第二季,"漫画改 / 热血 / 战斗 / 奇幻,·,2023,·,已完结, 全23话,·",9.4分,23.2万,3.5万,1.9万,2403,3.2亿播放  ·  89万弹幕  ·  1449.9万系列追番
https://www.bilibili.com/bangumi/play/ss41410?from_spmid=666.14.0.0,BV1ZY4y187fA,间谍过家家,"漫画改 / 战斗 / 搞笑 / 日常,·,2022,·,已完结, 全25话,·",9.7分,131.4万,65万,23.4万,2万,8.5亿播放  ·  336万弹幕  ·  1367.2万系列追番
https://www.bilibili.com/bangumi/play/ss46085?from_spmid=666.14.0.0,BV1du4y1F7zi,间谍过家家 第二季,"漫画改 / 日常 / 搞笑,·,2023,·,已完结, 全12话,·",9.7分,7.5万,1.9万,4079,1386,1.7亿播放  ·  39.6万弹幕  ·  1367.2万系列追番
https://www.bilibili.com/bangumi/play/ss48852?from_spmid=666.14.0.0,BV15a9iYKECL,关于我转生变成史莱姆这档事 第三季,"小说改 / 战斗 / 奇幻,·,2024,·,已完结, 全24话,·",7.3分,1.4万,2697,1730,125,6217.5万播放  ·  12.6万弹幕  ·  1083.6万系列追番
https://www.bilibili.com/bangumi/play/ss44864?from_spmid=666.14.0.0,BV1xL411D7mV,辉夜大小姐想让我告白 剧场版,"漫画改 / 搞笑 / 恋爱 / 校园,·,敬请期待,·,连载中,·",,6.5万,1.5万,5651,9003,632.4万播放  ·  1637弹幕  ·  1059.1万系列追番
https://www.bilibili.com/bangumi/play/ss47794?from_spmid=666.14.0.0,BV1Zm411y7PF,间谍过家家 第二季 中配版,"漫画改 / 日常 / 搞笑,·,2024,·,已完结, 全12话,·",9.1分,1.8万,3636,3641,759,1257.3万播放  ·  2.5万弹幕  ·  1367.2万系列追番
https://www.bilibili.com/bangumi/play/ss21542?from_spmid=666.14.0.0,BV1QW411i7oE,紫罗兰永恒花园,"治愈 / 励志 / 职场 / 催泪,·,2018,·,已完结, 全14话,·",9.8分,61.1万,55.6万,15.9万,20.9万,2.3亿播放  ·  366.3万弹幕  ·  1061.3万系列追番
https://www.bilibili.com/bangumi/play/ss43622?from_spmid=666.14.0.0,BV1uK411D7bv,间谍过家家 中配版,"漫画改 / 战斗 / 搞笑 / 日常,·,2022,·,已完结, 全25话,·",8.9分,6.7万,1.3万,1.3万,4898,5719.1万播放  ·  15.8万弹幕  ·  1367.2万系列追番
https://www.bilibili.com/bangumi/play/ss41411?from_spmid=666.14.0.0,BV1Qa411Q7XT,辉夜大小姐想让我告白 -究极浪漫-,"漫画改 / 搞笑 / 恋爱 / 校园,·,2022,·,已完结, 全13话,·",9.5分,22.2万,24.4万,3万,1228,1.3亿播放  ·  82.2万弹幕  ·  1059.1万系列追番
https://www.bilibili.com/bangumi/play/ss36170?from_spmid=666.14.0.0,BV1cR4y1p7Xw,关于我转生变成史莱姆这档事 第二季,"架空 / 小说改 / 奇幻 / 战斗,·,2021,·,已完结, 全24话,·",8.9分,21.7万,12万,1.4万,6695,4.8亿播放  ·  291.8万弹幕  ·  1083.6万系列追番
https://www.bilibili.com/bangumi/play/ss43056?from_spmid=666.14.0.0,BV1RT411T7yU,间谍过家家 粤配版,"漫画改 / 战斗 / 搞笑 / 日常,·,2022,·,已完结, 全25话,·",9.6分,7.3万,1.3万,7176,1.1万,2779.3万播放  ·  5.6万弹幕  ·  1367.2万系列追番
